trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.97282403926492,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 1.0}",30,0,-87.28074742730243,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 0}",0
102,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.66205916523103,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 1.0}",30,0,-137.8726170186329,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 2}",0
104,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.647608958820435,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.09618147551522,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
106,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.3777076912569,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
107,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.03096212687365,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
108,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.62850700357362,"{0: 18, 1: 3, 2: 4, 3: 4, 4: 1}",0
109,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.8672185455686,"{0: 12, 1: 0, 2: 2, 3: 4, 4: 2}",0
110,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.74312894643504,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
111,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.89294790804,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 2}",0
112,False,"{'a': 0.5, 'e': 1.0}",25,6,-123.42372605934497,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 1}",1
113,False,"{'a': 0.5, 'e': 1.0}",35,0,-203.67041143337,"{0: 20, 1: 4, 2: 8, 3: 0, 4: 3}",0
114,False,"{'a': 0.5, 'e': 1.0}",30,0,-92.55322232120527,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
115,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.9270089429405,"{0: 10, 1: 2, 2: 10, 3: 1, 4: 2}",0
116,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.29652304148578,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
117,False,"{'a': 0.5, 'e': 1.0}",20,0,-10.348478624139409,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.92609145576316,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
119,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.9994895784244,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
120,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.75990988989496,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
121,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.42126361743826,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.8382367470213,"{0: 12, 1: 3, 2: 6, 3: 4, 4: 0}",0
123,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.73583180699242,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
124,False,"{'a': 0.5, 'e': 1.0}",30,2,-170.0593973458918,"{0: 14, 1: 5, 2: 6, 3: 1, 4: 2}",1
125,False,"{'a': 0.5, 'e': 1.0}",20,11,-88.05922064221971,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 2}",1
126,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.3964128993967,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
127,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.67901463250564,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
128,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.93971143565321,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
129,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.43186128588536,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.34005081851862,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
131,False,"{'a': 0.5, 'e': 1.0}",20,10,-11.978847571094516,"{0: 6, 1: 4, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.80139107490504,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
133,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.81698340747465,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
134,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.88306739624758,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
135,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.38195939122193,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
136,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.75391587316213,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
137,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.00055378636004,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.24330233452768,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.11168869485108,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
140,False,"{'a': 0.5, 'e': 1.0}",35,0,-156.91616000368091,"{0: 20, 1: 6, 2: 7, 3: 0, 4: 2}",0
141,False,"{'a': 0.5, 'e': 1.0}",35,0,-246.47781467090434,"{0: 22, 1: 0, 2: 8, 3: 1, 4: 4}",0
142,False,"{'a': 0.5, 'e': 1.0}",30,12,-80.5156253604884,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
143,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.39365784487951,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 1.0}",25,17,-31.952920412184596,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
145,False,"{'a': 0.5, 'e': 1.0}",30,0,-208.9892938628687,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
146,False,"{'a': 0.5, 'e': 1.0}",20,0,-188.0742267408686,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 4}",0
147,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.19181747021947,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
