trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
358,False,"{'a': 0.3054755741128223, 'e': 0.027377870564111496}",20,6,21.133831894503352,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.30542081837169405, 'e': 0.027104091858470382}",20,1,-12.869280481313655,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
360,False,"{'a': 0.3053666101879771, 'e': 0.026833050939885677}",20,0,15.06819859937183,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
361,False,"{'a': 0.3053129440860973, 'e': 0.02656472043048682}",25,1,34.45727416668513,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.3052598146452364, 'e': 0.02629907322618195}",30,10,27.86358469088352,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.305207216498784, 'e': 0.026036082493920133}",25,14,22.85951277048933,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.3051551443337962, 'e': 0.02577572166898093}",35,17,30.136383416921785,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.3051035928904582, 'e': 0.025517964452291122}",25,11,22.494112746714123,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.30505255696155364, 'e': 0.02526278480776821}",20,15,0.49369334097682205,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.3050020313919381, 'e': 0.025010156959690527}",25,13,21.591808941406722,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.3049520110780187, 'e': 0.02476005539009362}",20,16,8.624963706883062,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.30490249096723854, 'e': 0.024512454836192684}",25,12,23.60223453455433,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.30485346605756614, 'e': 0.024267330287830756}",25,3,33.62639153123394,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.3048049313969905, 'e': 0.024024656984952448}",20,14,11.140642285249157,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.3047568820830206, 'e': 0.023784410415102923}",30,11,25.967035678304285,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.30470931326219036, 'e': 0.023546566310951894}",25,0,44.72815216587908,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
374,False,"{'a': 0.30466222012956845, 'e': 0.023311100647842375}",30,0,1.9684606142098062,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1
375,False,"{'a': 0.30461559792827275, 'e': 0.02307798964136395}",20,0,7.703021037895158,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
376,False,"{'a': 0.30456944194899005, 'e': 0.022847209744950314}",20,6,8.749538268343422,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
377,False,"{'a': 0.3045237475295002, 'e': 0.02261873764750081}",30,6,38.783214571764326,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.3044785100542052, 'e': 0.022392550271025803}",20,10,15.101248350791296,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.3044337249536631, 'e': 0.022168624768315544}",25,4,19.28733838719938,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
380,False,"{'a': 0.3043893877041265, 'e': 0.02194693852063239}",25,12,16.628680362914118,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.3043454938270852, 'e': 0.021727469135426065}",25,11,24.93585533217865,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.30430203888881435, 'e': 0.021510194444071803}",20,0,23.809329480936846,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
383,False,"{'a': 0.3042590184999262, 'e': 0.021295092499631085}",20,0,-8.714028570554932,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
384,False,"{'a': 0.30421642831492696, 'e': 0.021082141574634772}",20,15,8.794439495555256,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.30417426403177766, 'e': 0.020871320158888425}",20,7,20.272027605986104,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.3041325213914599, 'e': 0.020662606957299542}",25,0,21.268002413311425,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
387,False,"{'a': 0.3040911961775453, 'e': 0.020455980887726547}",20,0,17.77344493289972,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
388,False,"{'a': 0.30405028421576985, 'e': 0.02025142107884928}",20,0,19.71330578845456,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
389,False,"{'a': 0.3040097813736121, 'e': 0.020048906868060788}",20,0,28.244900140577165,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
390,False,"{'a': 0.303969683559876, 'e': 0.01984841779938018}",25,6,18.227054778602675,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
391,False,"{'a': 0.3039299867242773, 'e': 0.019649933621386378}",20,16,6.493215015876545,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
