trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.5, 'e': 0.6211445383053219}",25,0,-92.43608532780682,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.6180388156137953}",30,4,-27.81516422346694,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.6149486215357263}",20,0,18.4563041914292,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.6118738784280476}",20,0,-56.53888730083443,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.6088145090359074}",20,0,-54.56511413445375,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.6057704364907278}",20,8,-33.19297406622134,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.6027415843082742}",20,0,-89.7757269978271,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.5997278763867329}",20,0,-35.823542193763004,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.5967292370047992}",20,6,-27.33028111439531,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.5937455908197752}",25,14,-15.559994170650226,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.5907768628656763}",20,7,-15.097147897038676,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.5878229785513479}",20,0,-4.23235422172772,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.5848838636585911}",25,0,-53.24668405735972,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.5819594443402982}",20,0,-52.26980941198071,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.5790496471185967}",25,0,-54.77698821128424,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.5761543988830038}",30,0,-53.34176899130688,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.5732736268885887}",25,14,-55.54131493449891,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.5704072587541458}",20,11,-9.984995091091337,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.567555222460375}",20,2,-90.1580309576266,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
114,False,"{'a': 0.5, 'e': 0.5647174463480732}",25,2,0.7432437410744286,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.5618938591163328}",25,2,-28.37649856232887,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.5590843898207511}",20,0,-32.44867185340839,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.5562889678716474}",25,0,-73.97095170993379,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
